name,mz,rt,W03.01,W30.01,W30.02
M58T493,58.06462798,493.246,1590.791308,2012.816194,3529.022742
M59T1373,59.0489263,1373.275,394.9866667,260.5554199,324.1466667
M59T1102,59.0486698,1101.605,274.9371429,318.99,322
M59T1002,59.04867623,1002,245.0608,218.7532,442.4505005
M59T1226,59.04889065,1225.53,446.4847005,485.7,447.0185714
M59T1307,59.04976411,1306.74,325.0666667,257.346,322.8071429
M59T1328,59.04997615,1328.12,332.7333333,200.032,314.944
M59T1048,59.04984596,1047.56,333.8955078,317.6762085,421.9476563
M59T1188,59.04931039,1187.76,149.0559814,253.8505656,439.53
M59T1159,59.05844937,1159.48,253.5252162,376.1359863,568.6609933
M59T1264,59.04894097,1263.57,354.85,205.4654541,319.158
M59T948,59.04985258,947.58,221.7315674,599.5942383,618.1808777
M59T1360,59.06055915,1360.35,224.7866667,364.2161051,251.944
M59T37,59.06066559,36.582,1062.26829,370.844,1086.559082
M59T1135,59.05933978,1134.815,2018.674286,1310.06,2131.462793
M59T981,59.05933988,980.529,1025.7582,954.34552,1590.274353
M59T1187,59.06075929,1187.12,1196.694268,526.9714286,1199.183807
M60T1238,60.04341939,1238.085,2475.192,1048.59,1041.27
M60T1189,60.0446656,1188.83,1425.860596,810.1428571,1584.621936
M60T1124,60.04342434,1123.73,555.5885714,641.6214286,419.216
M60T1005,60.04397346,1005.304,642.3966667,582.2368164,482.3222857
M60T1069,60.04331712,1068.54,895.8251953,608.3733333,845
M60T1156,60.04326802,1156.145,861.652832,1174.931488,894.5048096
M60T1090,60.04299102,1090,735.8953857,499.72,701.4546143
M60T1047,60.04341013,1047.47,754.8645508,394.368,730.4220703
M60T190,60.0446559,189.625,7254.685714,43777.99852,6204.913727
M60T963,60.05430894,963.194,3252.644669,936.325,3222.355545
M60T1336,60.04383263,1336.08,1893.312,2707.589661,2430.933899
M60T994,60.05546587,993.671,532.216,514.8301538,1260.58623
M60T489,60.08041976,489.15,30061.93743,15098.99059,9748.100455
M60T650,60.08041056,650.204,5625.709446,535.6555556,2725.392634
M62T729,62.06009277,728.529,5355.375533,109.4953857,2515.3268
M62T587,62.06016362,586.953,2966.49939,1306.730714,2789.458923
